Bridge,Site_ID,Location,y,x
Bridge 1,Farm 2,Farm,8.40611,-83.34879
Bridge 1,Farm 2,Farm,8.40611,-83.34879
Bridge 2,Cerro Osa 2,Cerro Osa,8.40585,-83.30763
Bridge 2,Cerro Osa 2,Cerro Osa,8.40585,-83.30763
Bridge 3,Farm 1,Farm,8.41286,-83.34908
Bridge 3,Farm 1,Farm,8.41286,-83.34908
Bridge 4,Cerro Osa 3,Cerro Osa,8.40705,-83.30895
Bridge 4,Cerro Osa 3,Cerro Osa,8.40705,-83.30895
Bridge 5,Rincon 4,Rancho Quemado,8.70158,-83.60904
Bridge 5,Rincon 4,Rancho Quemado,8.70158,-83.60904
Bridge 6,Rincon 3,Rancho Quemado,8.69975,-83.60575
Bridge 6,Rincon 3,Rancho Quemado,8.69975,-83.60575
Bridge 7,Station 1,Station,8.40404,-83.33864
Bridge 7,Station 1,Station,8.40404,-83.33864
Bridge 8,Farm 3,Farm,8.40425,-83.34737
Bridge 8,Farm 3,Farm,8.40425,-83.34737
Bridge 9,Cerro Osa 1,Cerro Osa,8.40283,-83.30494
Bridge 9,Cerro Osa 1,Cerro Osa,8.40283,-83.30494
Bridge 10,Santa Rosa,Santa Rosa,8.8443,-83.31052
Bridge 10,Santa Rosa,Santa Rosa,8.8443,-83.31052
Bridge 11,Rincon 2,Rancho Quemado,8.67964,-83.54304
Bridge 11,Rincon 2,Rancho Quemado,8.67964,-83.54304
Bridge 12,Rincon 1,Rancho Quemado,8.677,-83.53811
Bridge 12,Rincon 1,Rancho Quemado,8.677,-83.53811
Bridge 13,Rincon 5,Rancho Quemado,8.67904,-83.55135
Bridge 13,Rincon 5,Rancho Quemado,8.67904,-83.55135
Bridge 14,Rincon 6,Rincon-Drake,8.69437,-83.5882
Bridge 14,Rincon 6,Rincon-Drake,8.69437,-83.5882
Bridge 15,Rincon 7,Rincon-Drake,8.70205,-83.61575
Bridge 15,Rincon 7,Rincon-Drake,8.70205,-83.61575
Bridge 16,Rincon 8,Rincon-Drake,8.69717,-83.59782
Bridge 16,Rincon 8,Rincon-Drake,8.69717,-83.59782
Bridge 17,Farm 4,Farm,8.402279,-83.347282
Bridge 17,Farm 4,Farm,8.402279,-83.347282
